"year","mean_grass"
"1916",0.0483321190212352
"1917",0.0365638371019144
"1918",0.0289581932169737
"1919",0.0264700805919296
"1920",0.0407768652638653
"1921",0.0465363173260626
"1922",0.0123721344415478
"1923",0.0153663358406513
"1924",0.0254180598822674
"1925",0.025611326651576
"1926",0.0489412569599054
"1927",0.0644124552283123
"1928",0.0768860813185907
"1929",0.106639670163105
"1930",0.0928630841409071
"1931",0.0906289640379573
"1932",0.105821205754983
"1933",0.0992776373480259
"1934",0.0634497892367407
"1935",0.0340790083601341
"1936",0.0527624776942073
"1937",0.057248824063915
"1938",0.0814064167079206
"1939",0.0596054439766808
"1940",0.0667933988733452
"1941",0.0637272425673021
"1942",0.0613619804703376
"1943",0.0526864031061358
"1944",0.0677572051287914
"1945",0.0755747131383044
"1946",0.0730007084923397
"1947",0.0710482319259614
"1948",0.0437433390910063
"1949",0.0479904900722887
"1950",0.0369893063634191
"1951",0.0274607761010773
"1952",0.0118558998491257
"1953",0.0110942392991574
"1954",0.0123621765678598
"1955",0.0133440372138088
"1956",0.0148665522812921
"1957",0.00960487868704077
"1958",0.019761982506348
"1959",0.0204172736731455
"1960",0.0214133056003095
"1961",0.0252833251772106
"1962",0.0362195570665849
"1963",0.0370166479673029
"1964",0.0378137388680209
"1965",0.0386108297687389
"1966",0.0361220664521827
"1967",0.024649354841652
"1968",0.0188128230401232
"1969",0.0119452465882076
"1970",0.0213573321973269
"1971",0.0194864725449858
"1972",0.0139397681650508
"1973",0.0264991485749075
"1974",0.0463113995116213
"1975",0.0480855998954453
"1976",0.0318821626653782
"1977",0.037469326020655
"1978",0.0399977484574845
"1979",0.047835801387033
"1980",0.0250409330957572
"1981",0.0414539107633798
"1982",0.022268470651902
"1983",0.01905241421703
"1984",0.028700583521646
"1985",0.0399013317948209
"1986",0.0728381856278203
"1987",0.035687188880161
"1988",0.0513238770635042
"1989",0.0363525798666863
"1990",0.0463334446645649
"1991",0.0735035766143455
"1992",0.105996836456328
"1993",0.0380160573329994
"1994",0.0136183878270739
"1995",0.0211511507852422
"2001",0.011603323521086
"2006",0.0358698059045684
"2011",0.0196761173968499
"2016",0.00865364702756983
