"year","category_nino34"
1870,"neutral"
1871,"neutral"
1872,"neutral"
1873,"nino"
1874,"nino"
1875,"nino"
1876,"nino"
1877,"neutral"
1878,"nina"
1879,"neutral"
1880,"nino"
1881,"neutral"
1882,"neutral"
1883,"neutral"
1884,"neutral"
1885,"neutral"
1886,"neutral"
1887,"nino"
1888,"neutral"
1889,"nina"
1890,"nino"
1891,"neutral"
1892,"neutral"
1893,"nino"
1894,"nino"
1895,"neutral"
1896,"neutral"
1897,"nina"
1898,"neutral"
1899,"nino"
1900,"nina"
1901,"neutral"
1902,"neutral"
1903,"nina"
1904,"nino"
1905,"neutral"
1906,"nina"
1907,"neutral"
1908,"neutral"
1909,"neutral"
1910,"nino"
1911,"nino"
1912,"nina"
1913,"neutral"
1914,"neutral"
1915,"neutral"
1916,"neutral"
1917,"nino"
1918,"neutral"
1919,"nina"
1920,"neutral"
1921,"neutral"
1922,"neutral"
1923,"neutral"
1924,"neutral"
1925,"neutral"
1926,"nina"
1927,"neutral"
1928,"neutral"
1929,"neutral"
1930,"neutral"
1931,"nina"
1932,"neutral"
1933,"neutral"
1934,"nino"
1935,"neutral"
1936,"neutral"
1937,"neutral"
1938,"neutral"
1939,"nino"
1940,"neutral"
1941,"nina"
1942,"nina"
1943,"nino"
1944,"neutral"
1945,"neutral"
1946,"neutral"
1947,"neutral"
1948,"neutral"
1949,"neutral"
1950,"nino"
1951,"nino"
1952,"neutral"
1953,"neutral"
1954,"neutral"
1955,"nino"
1956,"nino"
1957,"nino"
1958,"nina"
1959,"neutral"
1960,"neutral"
1961,"neutral"
1962,"neutral"
1963,"neutral"
1964,"nina"
1965,"nino"
1966,"nina"
1967,"neutral"
1968,"neutral"
1969,"nina"
1970,"neutral"
1971,"nino"
1972,"nino"
1973,"nina"
1974,"nino"
1975,"neutral"
1976,"nino"
1977,"nina"
1978,"nina"
1979,"neutral"
1980,"neutral"
1981,"neutral"
1982,"neutral"
1983,"nina"
1984,"nino"
1985,"nino"
1986,"neutral"
1987,"nina"
1988,"nina"
1989,"nino"
1990,"neutral"
1991,"neutral"
1992,"nina"
1993,"neutral"
1994,"neutral"
1995,"nina"
1996,"nino"
1997,"neutral"
1998,"nina"
1999,"nino"
2000,"nino"
2001,"nino"
2002,"neutral"
2003,"nina"
2004,"neutral"
2005,"nina"
2006,"neutral"
2007,"nina"
2008,"nino"
2009,"neutral"
2010,"nina"
2011,"nino"
2012,"nino"
2013,"neutral"
2014,"neutral"
2015,"neutral"
2016,"nina"
2017,"neutral"
2018,"nino"
2019,"nina"
2020,"neutral"
2021,"neutral"
