year,pdo_phase
1915,cool
1916,cool
1917,cool
1918,cool
1919,cool
1920,cool
1921,cool
1922,cool
1923,cool
1924,cool
1925,warm
1926,warm
1927,warm
1928,warm
1929,warm
1930,warm
1931,warm
1932,warm
1933,warm
1934,warm
1935,warm
1936,warm
1937,warm
1938,warm
1939,warm
1940,warm
1941,warm
1942,warm
1943,warm
1944,warm
1945,warm
1946,warm
1947,cool
1948,cool
1949,cool
1950,cool
1951,cool
1952,cool
1953,cool
1954,cool
1955,cool
1956,cool
1957,cool
1958,cool
1959,cool
1960,cool
1961,cool
1962,cool
1963,cool
1964,cool
1965,cool
1966,cool
1967,cool
1968,cool
1969,cool
1970,cool
1971,cool
1972,cool
1973,cool
1974,cool
1975,cool
1976,cool
1977,warm
1978,warm
1979,warm
1980,warm
1981,warm
1982,warm
1983,warm
1984,warm
1985,warm
1986,warm
1987,warm
1988,warm
1989,warm
1990,warm
1991,warm
1992,warm
1993,warm
1994,warm
1995,warm
1996,warm
1997,warm
1998,warm
1999,cool
2000,cool
2001,cool
2002,cool
2003,cool
2004,cool
2005,cool
2006,cool
2007,cool
2008,cool
2009,cool
2010,cool
2011,cool
2012,cool
2013,cool
2014,cool
2015,warm
2016,warm
2017,warm
2018,warm
2019,warm
2020,warm
