"project_year","mean_grass","mean_shrub","mean_bare","mean_total"
1916,0.0483321190212352,3.23704595566339e-05,0.951635510519208,0.0483644894807919
1917,0.0365638371019144,6.18604390335841e-05,0.963374302459052,0.0366256975409479
1918,0.0289581932169737,8.92538497698342e-05,0.970952552933257,0.0290474470667436
1919,0.0264700805919296,0.000216122030063726,0.973313797378007,0.0266862026219933
1920,0.0407768652638653,0.000420536709798069,0.958802598026337,0.0411974019736633
1921,0.0465363173260626,0.000569011104730369,0.952932824581916,0.0470671754180844
1922,0.0123721344415478,2.41234549077357e-06,0.987625453212961,0.0123745467870385
1923,0.0153663358406513,0.000242059569164367,0.984391604590184,0.0156083954098157
1924,0.0254180598822674,0.000430260469383635,0.974151679648349,0.025848320351651
1925,0.025611326651576,0.000265632923870583,0.974123040424553,0.0258769595754466
1926,0.0489412569599054,0.000307207815481925,0.950751535224613,0.0492484647753873
1927,0.0644124552283123,0.000471202146929532,0.935116342624758,0.0648836573752418
1928,0.0768860813185907,0.0009645698026081,0.922149348878801,0.0778506511211988
1929,0.106639670163105,0.00129327118637429,0.892067058650521,0.107932941349479
1930,0.0928630841409071,0.000829771168898223,0.906307144690195,0.0936928553098054
1931,0.0906289640379573,0.00119402168259924,0.908177014279443,0.0918229857205566
1932,0.105821205754983,0.00303181639610541,0.891321559611816,0.108678440388184
1933,0.0992776373480259,0.00230464863053885,0.898412708565388,0.101587291434612
1934,0.0634497892367407,0.00171620648868218,0.934858076266081,0.0651419237339195
1935,0.0340790083601341,0.00272052195286267,0.963200469687003,0.0367995303129967
1936,0.0527624776942073,0.00361164292473134,0.943625879381061,0.0563741206189387
1937,0.057248824063915,0.00552203865346226,0.937229941397836,0.0627700586021637
1938,0.0814064167079206,0.00362960525695094,0.914965586265406,0.0850344137345942
1939,0.0596054439766808,0.00285312306782785,0.937609087988302,0.0623909120116979
1940,0.0667933988733452,0.00199632191749565,0.931210279209159,0.0687897207908409
1941,0.0637272425673021,0.00386064401588977,0.932416691083551,0.0675833089164489
1942,0.0613619804703376,0.00637740737392533,0.932482483609976,0.0675175163900242
1943,0.0526864031061358,0.0074099237512364,0.940267493436293,0.0597325065637071
1944,0.0677572051287914,0.00683758039438597,0.925923367788273,0.074076632211727
1945,0.0755747131383044,0.00963678680218397,0.915714483370287,0.0842855166297133
1946,0.0730007084923397,0.0105708621656548,0.917400800769257,0.0825991992307426
1947,0.0710482319259614,0.0156164541697236,0.914469212580214,0.0855307874197859
1948,0.0437433390910063,0.0190694227442017,0.937924958604294,0.0620750413957063
1949,0.0479904900722887,0.0283366945459,0.92410096775618,0.0758990322438199
1950,0.0369893063634191,0.0160505340470217,0.947369158289668,0.0526308417103318
1951,0.0274607761010773,0.0171251897995757,0.95587883678297,0.0441211632170295
1952,0.0118558998491257,0.0257137650007248,0.962486848362901,0.0375131516370989
1953,0.0110942392991574,0.025089002573329,0.963859143037077,0.0361408569629226
1954,0.0123621765678598,0.0244642401459331,0.963201839892583,0.0367981601074172
1955,0.0133440372138088,0.0238394777185373,0.962830613370842,0.0371693866291583
1956,0.0148665522812921,0.0232147152911415,0.961918732427566,0.0380812675724336
1957,0.00960487868704077,0.0466093308914178,0.943785790421541,0.0562142095784586
1958,0.019761982506348,0.0595721370389576,0.921303053442402,0.0786969465575977
1959,0.0204172736731455,0.0626853857071261,0.91750925702555,0.0824907429744502
1960,0.0214133056003095,0.0463168553536049,0.932292432304627,0.0677075676953729
1961,0.0252833251772106,0.0443319812671567,0.930516953247976,0.0694830467520237
1962,0.0362195570665849,0.047090704935467,0.917083025637931,0.0829169743620689
1963,0.0370166479673029,0.0498494286037773,0.913788239016542,0.0862117609834578
1964,0.0378137388680209,0.0526081522720876,0.910493452395153,0.0895065476048467
1965,0.0386108297687389,0.0553668759403978,0.907198665773764,0.0928013342262356
1966,0.0361220664521827,0.0619604125837835,0.903107598918347,0.096892401081653
1967,0.024649354841652,0.0664627225218619,0.909573517712916,0.0904264822870844
1968,0.0188128230401232,0.0709436992247029,0.91042458993372,0.0895754100662802
1969,0.0119452465882076,0.0628302346130034,0.925367506477667,0.0746324935223335
1970,0.0213573321973269,0.0514118717463764,0.927336905254147,0.0726630947458533
1971,0.0194864725449858,0.0400657172132067,0.94051704095863,0.05948295904137
1972,0.0139397681650508,0.0843924462802675,0.902386352773678,0.097613647226322
1973,0.0264991485749075,0.0846174586465161,0.889242676388074,0.110757323611926
1974,0.0463113995116213,0.0762220291509715,0.877466571337407,0.122533428662593
1975,0.0480855998954453,0.0691090117885334,0.883177205899839,0.116822794100161
1976,0.0318821626653782,0.0521273202982478,0.9161308628613,0.0838691371386998
1977,0.037469326020655,0.0397643153069506,0.922766358672394,0.0772336413276056
1978,0.0399977484574845,0.0397643153069506,0.920237936235565,0.0797620637644351
1979,0.047835801387033,0.0397651198343881,0.912399078778579,0.0876009212214211
1995,0.0211511507852422,0.122874321010955,0.859293801900046,0.140706198099954
2001,0.011603323521086,0.139571207025309,0.848880929595765,0.151119070404235
2006,0.0358698059045684,0.149567132545273,0.831077335341475,0.168922664658525
2011,0.0196761173968499,0.16394312337586,0.818838891146407,0.181161108853593
2016,0.00865364702756983,0.182715324816862,0.810064901508267,0.189935098491733
