"year","fitted_pdo","pdo"
1915,-0.257116441747502,0.278888888888889
1916,-0.237396225792212,-0.304166666666667
1917,-0.21691560739494,-0.4375
1918,-0.194572247835925,-0.510833333333333
1919,-0.169026199615892,0.0883333333333333
1920,-0.138902532873533,-0.859166666666667
1921,-0.102972969054288,-0.4425
1922,-0.0603110165383693,0.00249999999999998
1923,-0.010415432560265,0.429166666666667
1924,0.0467022610811556,0.325
1925,0.110469115177932,-0.06
1926,0.179742144216495,1.02666666666667
1927,0.252839064346337,0.501666666666667
1928,0.32760570088753,0.12
1929,0.401515493532262,0.301666666666667
1930,0.471794840286526,-0.0633333333333333
1931,0.535566652640333,0.675833333333333
1932,0.590003539424674,0.18
1933,0.632481556728821,-0.630833333333333
1934,0.660725494045439,0.5875
1935,0.672937212158091,1.07166666666667
1936,0.66789957935001,1.405
1937,0.645050008243722,0.7325
1938,0.604519392350037,0.0866666666666667
1939,0.54713427262048,0.284166666666667
1940,0.474382210483097,1.39333333333333
1941,0.388342477855683,2.1025
1942,0.291586171209249,0.723333333333333
1943,0.187051597638935,-0.00166666666666665
1944,0.0779021656039931,-0.0683333333333333
1945,-0.0326250399304191,0.0358333333333333
1946,-0.141371360984377,-0.565
1947,-0.2454007693281,0.0683333333333333
1948,-0.342128153724625,-0.35
1949,-0.429424711732728,-1.30083333333333
1950,-0.505694905372669,-1.68166666666667
1951,-0.569921194456952,-0.960833333333333
1952,-0.621674723550645,-0.966666666666667
1953,-0.661092188459239,-0.158333333333333
1954,-0.688821122122171,-0.44
1955,-0.705937697274462,-1.1675
1956,-0.713842732040359,-2.04916666666667
1957,-0.714142813576606,-0.299166666666667
1958,-0.708524249799033,0.638333333333333
1959,-0.698627878981132,-0.11
1960,-0.685932593206845,0.195833333333333
1961,-0.671654781852395,-0.246666666666667
1962,-0.656669817002637,-1.48666666666667
1963,-0.641460254938343,-0.619166666666667
1964,-0.62609370738375,-0.8525
1965,-0.610231449484067,-0.464166666666667
1966,-0.593166896186027,-0.313333333333333
1967,-0.57389121194835,-0.863333333333333
1968,-0.551181634470759,-0.323333333333333
1969,-0.523706692821545,-0.49
1970,-0.490141466110298,0.0866666666666667
1971,-0.449285422627496,-1.27583333333333
1972,-0.40017523270657,-1.22916666666667
1973,-0.342185268899386,-0.488333333333333
1974,-0.275109269692469,-0.640833333333333
1975,-0.199217799040929,-0.669166666666667
1976,-0.115287609999459,-0.705
1977,-0.0246007240469416,0.6975
1978,0.0710871357768847,0.100833333333333
1979,0.169607282331869,0.208333333333333
1980,0.268464759599982,0.560833333333333
1981,0.364946248638015,0.915833333333333
1982,0.4562431979633,0.22
1983,0.539583317754138,1.37416666666667
1984,0.612363117366734,0.9675
1985,0.67227414235721,0.631666666666667
1986,0.717415976481239,0.854166666666667
1987,0.746389885591406,1.8575
1988,0.758368139653047,0.919166666666667
1989,0.753135481464772,-0.155833333333333
1990,0.731100825553038,-0.0408333333333333
1991,0.693278968861386,-0.886666666666667
1992,0.641243771671367,0.8125
1993,0.577055824281057,1.30583333333333
1994,0.50316895905415,0.580833333333333
1995,0.422321024600575,0.190833333333333
1996,0.33741504998127,0.6925
1997,0.251397259085467,1.155
1998,0.16713833785201,0.725
1999,0.0873239237895578,-0.766666666666667
2000,0.0143595171865618,-0.973333333333333
2001,-0.0497060374697527,-0.375
2002,-0.103235606647675,-0.411666666666667
2003,-0.14503584221732,1.165
2004,-0.17436616196685,0.560833333333333
2005,-0.190925865211462,0.5175
2006,-0.194821807788908,-0.0166666666666667
2007,-0.186520036864423,0.0525
2008,-0.166785485706355,-1.22833333333333
2009,-0.136614215784788,-0.931666666666667
2010,-0.0971627533810215,-0.0591666666666667
2011,-0.049678808089181,-1.03333333333333
2012,0.00456288841703589,-1.4
2013,0.0643166736926979,-0.556666666666667
2014,0.128411987694726,0.538333333333333
2015,0.19578841538089,1.8325
2016,0.265519870141017,1.52
2017,0.336829033576195,0.76
2018,0.40909398626654,0.19
2019,0.481849541462123,0.6025
2020,0.554786063774205,-0.248333333333333
