"location","year","period","total_grass"
"DW",2019,1,181.83
"DW",2019,3,176.37
"DW",2015,3,121.31
"DW",2015,1,143.89
"DW",2016,3,197.81
"DW",2016,1,146.31
"DW",2014,1,80.45
"DW",2014,3,174.78
"DW",2018,1,196.4
"DW",2018,3,176.08
"DW",2005,1,177.78
"DW",2005,3,203.76
"DW",1999,3,222.98
"DW",1999,1,130.48
"DW",2006,3,206.07
"DW",2006,1,179.38
"DW",1996,3,191.59
"DW",1996,1,111.88
"DW",1997,3,163.8
"DW",1997,1,144.06
"DW",2012,3,128.91
"DW",2012,1,89.37
"DW",2007,1,199.08
"DW",2007,3,210.23
"DW",2001,1,184.29
"DW",2001,3,220.55
"DW",1994,3,139.29
"DW",1994,1,118.35
"DW",1991,1,127.95
"DW",1991,2,139.1
"DW",2000,3,192.19
"DW",2000,1,198.33
"DW",1989,1,101.52
"DW",1989,2,95.63
"DW",1990,2,123.59
"DW",1990,1,122.01
"DW",2013,1,71.8
"DW",2013,3,259.09
"DW",2017,3,379.51
"DW",2017,1,140.37
"DW",1998,1,118.55
"DW",1998,3,127.7
"DW",1993,1,132.63
"DW",1993,2,142.4
"DW",1992,2,129.3
"DW",1992,1,107.72
"DW",2009,1,177.46
"DW",2009,3,9.26
"DW",1995,1,106.13
"DW",1995,3,123.77
"DW",2010,1,69.05
"DW",2010,3,195.05
"DW",2004,1,159.72
"DW",2004,3,202
"DW",2002,3,182.91
"DW",2002,1,162.62
"DW",2008,1,183.87
"DW",2008,3,214.37
"DW",2003,1,156.24
"DW",2003,3,174.35
"DW",2011,1,25.26
"DW",2011,3,97
"FP",2005,1,161.44
"FP",2005,3,195.68
"FP",2006,1,166.09
"FP",2006,3,216.9
"FP",1997,3,179.31
"FP",1997,1,159.83
"FP",2018,1,146.68
"FP",2018,3,151.33
"FP",2019,3,122.74
"FP",2019,1,184.08
"FP",2012,3,174.64
"FP",2012,1,120.37
"FP",2017,3,154.55
"FP",2017,1,185.6
"FP",2016,1,149.2
"FP",2016,3,201.39
"FP",1996,3,168.09
"FP",1996,1,130.58
"FP",2000,1,227.16
"FP",2000,3,209.99
"FP",1999,3,250.86
"FP",1999,1,147.73
"FP",2001,3,214.4
"FP",2001,1,187.6
"FP",2002,3,184.43
"FP",2002,1,187.3
"FP",1991,1,176.91
"FP",1991,2,206.26
"FP",1992,2,182.12
"FP",1992,1,158.92
"FP",1990,2,162.61
"FP",1990,1,160.16
"FP",2008,1,177.04
"FP",2008,3,219.42
"FP",2007,3,211.73
"FP",2007,1,204.7
"FP",1994,1,147.55
"FP",1994,3,174.78
"FP",1998,3,150.74
"FP",1998,1,120.99
"FP",1995,3,137.01
"FP",1995,1,127.84
"FP",2003,1,175.09
"FP",2003,3,179.56
"FP",2009,1,204.18
"FP",2009,3,208.09
"FP",1993,1,176.07
"FP",1993,2,190.29
"FP",2004,3,202.37
"FP",2004,1,158.73
"FP",1989,2,172.17
"FP",1989,1,148.41
"FP",2010,3,242.94
"FP",2010,1,228.55
"FP",2013,1,86.64
"FP",2013,3,269.6
"FP",2011,3,156.4
"FP",2011,1,3.52
"FP",2014,1,108.41
"FP",2014,3,173.55
"FP",2015,1,127.83
"FP",2015,3,131.48
