"USDA_code","Species_binomial","habit","form"
"ARIST","Aristida species","P","GRASS"
"ARPA9","Aristida pansa","P","GRASS"
"ARPU9","Aristida purpurea","P","GRASS"
"ARTE3","Aristida ternipes","P","GRASS"
"BOBA3","Bothriochloa barbinodis","P","GRASS"
"BOCU","Bouteloua curtipendula","P","GRASS"
"BOER4","Bouteloua eriopoda","P","GRASS"
"BOLA2","Bothriochloa laguroides","P","GRASS"
"BOSP3","Bothriochloa springfieldii","P","GRASS"
"BOTHR","Bothriochloa species","P","GRASS"
"DAPU7","Dasyochloa pulchella","P","GRASS"
"DICA8","Digitaria californica","P","GRASS"
"ENDE","Enneapogon desvauxii","P","GRASS"
"ERLE","Eragrostis lehmanniana","P","GRASS"
"MUAR","Muhlenbergia arenacea","P","GRASS"
"MUPO2","Muhlenbergia porteri","P","GRASS"
"PAHA","Panicum hallii","P","GRASS"
"PAOB","Panicum obtusum","P","GRASS"
"PLMU3","Pleuraphis mutica","P","GRASS"
"SCBR2","Scleropogon brevifolius","P","GRASS"
"SELE6","Setaria leucopila","P","GRASS"
"SPAI","Sporobolus airoides","P","GRASS"
"SPCO4","Sporobolus contractus","P","GRASS"
"SPCR","Sporobolus cryptandrus","P","GRASS"
"SPFL2","Sporobolus flexuosus","P","GRASS"
"SPORO","Sporobolus species","P","GRASS"
"SPORO","Sprorobolus species","P","GRASS"
