year,A1P,A2P,A5P,B1P,B2P,B5P,C1P,C2P,C3P,C4P,C5P,D1P,D2P,D3P,D4P,D5P,E1P,E2P,E3P,E4P,P3A,P6A,P6B,PP1,PP3,PP6,PP7,PP8,WD1,WD11,WD13,WD15,WD17,WD19,WD2,WD25,WD9,P2A,WD3,WD5
15,15,15,NA,15,15,NA,15,15,15,15,NA,15,15,15,15,NA,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,16,NA,NA,16,16,NA,16,16,16,16,NA,16,16,16,16,NA,16,16,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
18,18,18,18,18,18,18,18,18,NA,18,NA,18,18,NA,18,NA,18,18,18,18,18,18,18,18,18,18,18,NA,NA,18,NA,18,18,NA,18,NA,18,18,18,18
19,NA,NA,19,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,20,20,20,20,20,20,20,NA,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,NA,21
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,NA,23,23,23,23
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
25,25,25,25,25,NA,25,25,25,25,25,25,25,25,25,25,25,25,NA,25,NA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
26,26,26,NA,NA,26,NA,NA,26,NA,NA,NA,NA,26,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
28,28,28,28,NA,28,28,28,28,28,28,28,28,28,28,28,NA,28,28,28,28,28,28,28,28,28,28,28,28,28,28,NA,28,28,28,28,28,28,28,28,28
29,29,NA,29,NA,NA,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,NA,NA,NA,29,29,29,29,29,29,29
30,30,30,30,NA,30,30,30,30,NA,30,30,30,NA,NA,30,30,30,30,30,30,30,30,30,30,NA,30,30,NA,30,30,NA,NA,30,30,30,30,30,30,30,30
31,31,31,31,NA,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,NA,31,31,31,31,31,31,31,31,31,31,NA,NA,31,NA,31,31,31,31,31,31
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
33,33,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33,33,33,33,33,33,NA,33,33,33,NA,NA,33,33,33,33,33,NA,NA,33,NA,NA,NA
34,NA,NA,NA,NA,NA,NA,34,34,NA,NA,NA,34,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,34,NA,34,NA,NA,NA
35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,35,NA,35,NA,NA,NA
47,NA,NA,NA,47,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,47,NA,47,47,47,NA,NA,47,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA
