species,pointFeatures,polygonFeatures,unmapped,growthForm,coverType,USDA_code
Aristida spp.,NA,5255,NA,grass,basal,ARIST
Bothriochloa laguroides,NA,85,NA,grass,basal,BOLA2
Bouteloua curtipendula,NA,167,NA,grass,basal,BOCU
Bouteloua eriopoda,NA,11503,NA,grass,basal,BOER4
Bouteloua perennial spp.,NA,29669,NA,grass,basal,BOUTE
Bouteloua rothrockii,NA,72113,NA,grass,basal,BORO2
Dasyochloa pulchella,NA,6,NA,grass,basal,DAPU7
Digitaria californica,NA,1229,NA,grass,basal,DICA8
Eragrostis intermedia,NA,10,11,grass,basal,ERIN
Heteropogon contortus,NA,1770,NA,grass,basal,HECO10
Hilaria belangeri,NA,10630,NA,grass,basal,HIBE
Leptochloa dubia,NA,1,NA,grass,basal,LEDU
Lycurus phleoides,NA,786,NA,grass,basal,LYPH
Muhlenbergia porteri,NA,139,NA,grass,basal,MUPO2
Panicum hallii,NA,75,NA,grass,basal,PAHA
Setaria macrostachya,3,NA,NA,grass,NA,SEMA5
Tridens muticus,NA,4,NA,grass,basal,TRMU
Unknown Grass,NA,11,NA,grass,basal,
