"parameters","AICc","adj.r.squared","deltaAICc"
"(Intercept), pdo_mean_10y, spei, spei_lag1",-346.185454551213,64.9417235205075,0
"(Intercept), pdo_mean_10y, spei_lag1",-345.816132286075,64.0160268043422,0.369322265137555
"(Intercept), pdo_mean_10y, yearly_ppt_mm",-344.859327070284,63.4740220599641,1.32612748092924
"(Intercept), pdo_mean_10y, summer_spei",-344.688166608525,63.3762068949081,1.49728794268793
"(Intercept), pdo_mean_10y, summer_ppt_mm",-344.641837289001,63.3496854933757,1.54361726221214
"(Intercept), pdo_mean_10y, pdsi_lag1",-344.566078414334,63.3062756402568,1.619376136879
"(Intercept), pdo_mean_10y",-344.515987728481,62.5606942475726,1.66946682273152
"(Intercept), pdo_mean_10y, pdsi",-344.385273449039,63.2024664566848,1.80018110217361
"(Intercept), pdo_mean_10y, spei",-344.325519741699,63.1680943344777,1.85993480951379
"(Intercept), pdo_mean_10y, demartonne",-343.733746164448,62.8259501390445,2.45170838676495
"(Intercept), pdo_mean_10y, pdsi, pdsi_lag1",-343.668838013728,63.5356944300567,2.51661653748511
"(Intercept), pdo_mean_10y, summer_pdsi",-343.423381199261,62.6452385249488,2.76207335195221
"(Intercept), pdo_mean_10y, enso_phaseLaNina, enso_phaseNeutral, yearly_ppt_mm",-342.643040556822,63.7276213313262,3.54241399439104
"(Intercept), pdo_mean_10y, enso_phaseLaNina, enso_phaseNeutral",-341.201300695357,62.1023493093782,4.98415385585542
"(Intercept), pdo_phasewarm",-326.657007531238,50.5101462368797,19.5284470199744
"(Intercept), pdo_lag5",-312.68717898625,38.4379108565821,33.4982755649633
"(Intercept), pdo",-289.78310458699,11.9484527151229,56.4023499642227
"(Intercept), pdsi_lag1",-288.14978859035,9.6724082676137,58.0356659608632
"(Intercept), pdsi",-286.726869894769,7.64165413748946,59.4585846564443
"(Intercept), spei_lag1",-286.352091161017,7.09922460254745,59.8333633901959
"(Intercept), summer_pdsi",-285.376702124832,5.6725305196675,60.8087524263804
"(Intercept), spei",-284.280270855805,4.04261519446329,61.9051836954077
"(Intercept), enso_phaseLaNina, enso_phaseNeutral",-283.069009593589,4.08163718010714,63.1164449576241
"(Intercept)",-282.818503611606,0,63.3669509396064
